"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2012年6月5日","96.49","96.39","96.87","95.78","5.89M","-0.09%"
"2012年6月4日","96.58","96.48","97.14","95.73","6.79M","0.18%"
"2012年6月1日","96.41","96.65","97.29","96.02","9.24M","-1.93%"
"2012年5月31日","98.31","98.06","99.16","96.68","9.37M","0.70%"
"2012年5月30日","97.63","99.11","99.11","97.50","7.28M","-2.60%"
"2012年5月29日","100.24","99.81","100.85","99.50","5.22M","1.40%"
"2012年5月25日","98.86","100.04","100.24","98.42","5.56M","-1.20%"
"2012年5月24日","100.06","99.26","100.12","98.55","6.32M","1.07%"
"2012年5月23日","99.00","98.33","99.00","96.70","8.01M","-0.32%"
"2012年5月22日","99.32","99.93","100.68","98.73","6.09M","-0.37%"
"2012年5月21日","99.69","98.81","99.74","98.35","6.17M","1.25%"
"2012年5月18日","98.46","100.48","100.75","98.24","11.14M","-1.68%"
"2012年5月17日","100.14","100.20","101.41","99.89","6.53M","0.04%"
"2012年5月16日","100.10","100.77","101.78","100.01","6.43M","-0.79%"
"2012年5月15日","100.90","102.04","102.66","100.71","8.42M","-1.02%"
"2012年5月14日","101.94","101.74","102.30","101.27","7.02M","-0.73%"
"2012年5月11日","102.69","102.95","103.95","102.47","4.94M","-0.65%"
"2012年5月10日","103.36","102.83","104.24","102.65","21.11M","1.55%"
"2012年5月9日","101.78","101.61","102.50","101.37","6.12M","-1.03%"
"2012年5月8日","102.84","102.75","103.21","101.55","8.17M","-0.45%"
"2012年5月7日","103.31","103.08","103.82","102.59","6.13M","-0.40%"
"2012年5月4日","103.72","105.27","105.49","103.25","6.24M","-2.14%"
"2012年5月3日","105.99","107.04","107.06","105.41","4.88M","-0.97%"
"2012年5月2日","107.03","107.51","107.65","106.59","4.84M","-1.15%"
"2012年5月1日","108.27","106.74","108.79","106.39","6.18M","1.60%"
"2012年4月30日","106.56","106.16","106.61","105.81","4.73M","0.34%"
"2012年4月27日","106.20","106.78","106.80","105.67","5.00M","-0.02%"
"2012年4月26日","106.22","104.00","106.70","103.99","8.54M","2.28%"
"2012年4月25日","103.85","103.56","103.89","102.62","5.31M","0.80%"
"2012年4月24日","103.03","102.77","103.17","102.14","4.10M","0.58%"
"2012年4月23日","102.44","101.19","102.72","100.89","5.59M","-0.08%"
"2012年4月20日","102.52","103.11","103.84","102.42","5.82M","0.01%"
"2012年4月19日","102.51","103.27","103.64","102.18","6.77M","-0.85%"
"2012年4月18日","103.39","103.42","103.97","102.85","4.84M","-0.22%"
"2012年4月17日","103.62","102.46","104.09","102.34","5.50M","2.08%"
"2012年4月16日","101.51","101.62","102.24","101.17","6.07M","0.72%"
"2012年4月13日","100.78","102.29","102.36","100.72","6.85M","-1.76%"
"2012年4月12日","102.59","100.89","102.86","100.51","6.45M","1.62%"
"2012年4月11日","100.95","102.31","102.45","100.78","8.57M","-0.49%"
"2012年4月10日","101.45","103.25","103.38","101.40","8.91M","-1.97%"
"2012年4月9日","103.49","103.30","104.08","102.85","4.98M","-1.20%"
"2012年4月5日","104.75","105.17","105.90","104.33","5.98M","-0.80%"
"2012年4月4日","105.60","106.25","106.26","105.03","5.43M","-1.44%"
"2012年4月3日","107.14","107.93","108.23","106.23","4.69M","-1.07%"
"2012年4月2日","108.30","106.85","108.79","106.60","5.19M","1.02%"
"2012年3月30日","107.21","107.04","107.25","106.41","6.12M","0.34%"
"2012年3月29日","106.85","105.08","107.02","104.92","5.80M","0.91%"
"2012年3月28日","105.89","106.57","106.96","105.20","6.82M","-1.07%"
"2012年3月27日","107.04","107.88","108.00","107.01","4.33M","-0.74%"
"2012年3月26日","107.84","107.23","107.97","106.83","5.31M","1.39%"
"2012年3月23日","106.36","105.68","106.90","104.85","6.60M","0.96%"
"2012年3月22日","105.35","106.85","106.99","105.03","8.28M","-2.37%"
"2012年3月21日","107.91","108.95","109.02","107.35","7.55M","-1.07%"
"2012年3月20日","109.08","109.93","109.93","108.93","6.16M","-1.46%"
"2012年3月19日","110.70","110.52","111.06","110.30","5.69M","0.38%"
"2012年3月16日","110.28","110.43","110.83","110.10","11.09M","0.23%"
"2012年3月15日","110.03","110.51","110.93","109.47","8.90M","-0.60%"
"2012年3月14日","110.69","111.05","112.28","110.54","8.82M","-0.45%"
"2012年3月13日","111.19","110.22","111.31","109.43","7.33M","1.08%"
"2012年3月12日","110.00","109.65","110.00","109.16","5.33M","0.39%"
"2012年3月9日","109.57","109.89","110.41","109.37","5.70M","-0.42%"
"2012年3月8日","110.03","109.80","110.57","109.56","5.51M","0.52%"
"2012年3月7日","109.46","109.00","109.95","108.19","6.87M","0.56%"
"2012年3月6日","108.85","108.14","109.03","108.00","7.48M","-0.43%"
"2012年3月5日","109.32","109.14","109.45","108.14","5.94M","-0.26%"
"2012年3月2日","109.61","109.50","109.87","109.00","5.38M","-0.14%"
"2012年3月1日","109.76","109.17","110.14","109.10","5.98M","0.59%"
"2012年2月29日","109.12","110.40","110.92","108.92","10.57M","-0.45%"
"2012年2月28日","109.61","109.68","110.40","109.18","9.13M","-0.02%"
"2012年2月27日","109.63","108.29","110.22","108.28","7.72M","0.50%"
"2012年2月24日","109.08","108.80","109.40","108.50","5.83M","0.67%"
"2012年2月23日","108.35","107.54","108.50","107.32","5.51M","0.79%"
"2012年2月22日","107.50","108.16","108.56","107.20","7.15M","-0.84%"
"2012年2月21日","108.41","107.51","108.50","107.44","7.15M","1.64%"
"2012年2月17日","106.66","107.02","107.24","106.04","5.67M","0.13%"
"2012年2月16日","106.52","105.52","106.57","104.80","5.73M","1.45%"
"2012年2月15日","105.00","106.24","106.24","104.59","6.55M","-1.40%"
"2012年2月14日","106.49","106.25","106.53","105.56","5.98M","0.10%"
"2012年2月13日","106.38","106.16","106.53","105.45","4.70M","1.04%"
"2012年2月10日","105.28","105.19","105.52","104.58","6.14M","-1.02%"
"2012年2月9日","106.37","107.18","107.41","106.07","4.75M","-0.37%"
"2012年2月8日","106.76","107.27","107.50","106.09","5.38M","-0.07%"
"2012年2月7日","106.83","106.02","107.06","105.44","6.03M","0.15%"
"2012年2月6日","106.67","104.62","106.76","104.37","6.44M","1.11%"
"2012年2月3日","105.50","104.91","105.60","104.48","6.82M","1.75%"
"2012年2月2日","103.69","103.03","103.96","102.88","5.90M","0.88%"
"2012年2月1日","102.79","104.42","104.42","102.68","7.83M","-0.32%"
"2012年1月31日","103.12","104.61","104.78","102.40","8.32M","-0.28%"
"2012年1月30日","103.41","103.40","103.50","102.08","7.62M","-0.53%"
"2012年1月27日","103.96","104.39","104.67","103.12","10.58M","-2.47%"
"2012年1月26日","106.59","108.03","108.57","106.35","7.00M","-1.06%"
"2012年1月25日","107.73","106.37","108.00","105.09","8.02M","0.95%"
"2012年1月24日","106.72","106.45","107.09","106.18","5.04M","-0.27%"
"2012年1月23日","107.01","106.99","107.50","106.56","6.51M","0.11%"
